nome_municipio,abandono_geral,risco_evasao,prob_risco_modelo,pred_modelo,acerto
São Caitano,1.85,0,0.143,0,True
São João,0.2,0,0.13,0,True
São Joaquim do Monte,0.15,0,0.353,0,True
São José da Coroa Grande,0.15,0,0.18,0,True
São José do Belmonte,0.0,0,0.067,0,True
São José do Egito,0.3999999999999999,0,0.06,0,True
São Lourenço da Mata,0.9,0,0.157,0,True
São Vicente Férrer,0.5,0,0.123,0,True
Serra Talhada,0.4,0,0.133,0,True
Serrita,0.5,0,0.12,0,True
Sertânia,1.6,0,0.3,0,True
Sirinhaém,0.05,0,0.307,0,True
Moreilândia,0.85,0,0.187,0,True
Solidão,0.05,0,0.14,0,True
Surubim,0.1,0,0.33,0,True
Tabira,0.45,0,0.28,0,True
Tacaimbó,0.3,0,0.153,0,True
Tacaratu,1.85,0,0.153,0,True
Tamandaré,0.35,0,0.11,0,True
Taquaritinga do Norte,1.5499999999999998,0,0.107,0,True
Terezinha,0.1,0,0.497,0,True
Terra Nova,0.0,0,0.093,0,True
Timbaúba,0.95,0,0.073,0,True
Toritama,0.45,0,0.42,0,True
Tracunhaém,0.35,0,0.137,0,True
Trindade,0.0,0,0.09,0,True
Triunfo,0.25,0,0.097,0,True
Tupanatinga,0.1,0,0.153,0,True
Tuparetama,1.0499999999999998,0,0.067,0,True
Venturosa,0.6,0,0.043,0,True
Verdejante,0.75,0,0.123,0,True
Vertente do Lério,0.1,0,0.1,0,True
Vertentes,0.5,0,0.103,0,True
Vicência,0.4,0,0.06,0,True
Vitória de Santo Antão,1.0,0,0.09,0,True
Xexéu,0.15,0,0.273,0,True
