reprov_fund_total,reprov_fund_anos_finais,reprov_med_total,reprov_med_1serie,pct_internet,pct_biblioteca,pct_lab_informatica,pct_quadra,pct_agua_potavel,pct_sem_esgoto,pct_sem_acessibilidade,pct_alimentacao,qt_salas_media,localizacao_Rural,localizacao_Total,localizacao_Urbana,dependencia_adm_Estadual,dependencia_adm_Federal,dependencia_adm_Municipal,dependencia_adm_Privada,dependencia_adm_Total
1.076537719357357,0.10141676188529318,-0.940919374864086,-0.9266874865815534,0.3174959920639961,-0.4023132329109875,-0.17075807991166497,0.14085921314747965,0.2095902641568797,-0.1910640456559906,-0.14895673081281396,-0.21476088351541836,-0.11892238150010051,False,False,True,False,False,False,False,True
-0.6060609115872644,-0.7283969908823404,-0.4473966942837978,-0.9266874865815534,-2.9295017286566263,-1.2813615800090281,-1.0851465885307117,-1.2961494988218767,0.2095902641568797,-0.1910640456559906,2.7132279375116637,0.42111583825199994,-0.8628815183758579,True,False,False,True,False,False,False,False
0.5337639674397373,1.0971932652064538,1.3896043945428302,2.212946123700784,0.3174959920639961,0.037210940638033055,0.28643617439785857,-1.2961494988218767,0.2095902641568797,-0.1910640456559906,-0.7213936644777095,0.42111583825199994,-0.5165557132785226,False,False,True,False,False,False,False,True
-0.4703674736078594,-0.41721683359447786,0.32030525328553927,0.2932844305567262,0.24242090025542762,-1.0222201597662532,1.0554739085254383,1.3120628454462036,0.2095902641568797,-0.1910640456559906,1.2837900453542368,0.3990623103294305,0.6158429211148844,False,True,False,True,False,False,False,False
3.247632727027837,3.545143835870973,-0.14579950059584396,-0.31670152801241364,-0.764836581509544,-0.18255114613647702,-0.6279523342211883,-1.0566480468269839,-0.5874013705052104,0.6896834884319913,0.1372617360196339,0.42111583825199994,-0.5293825949487942,False,True,False,True,False,False,False,False
-0.41609009841609734,-0.6039249279671954,-0.8175387047190139,-0.6396352707843111,0.3174959920639961,1.3557834612850943,-1.0851465885307117,1.577867925116836,0.2095902641568797,-0.1910640456559906,2.7132279375116637,0.42111583825199994,-0.0932686181595571,True,False,False,False,False,True,False,False
-0.8503090999501933,0.22588882480043815,0.04612598629649039,0.13181755917077753,0.3174959920639961,-0.8649702576994299,-0.21888379089161472,-0.08603689926873463,0.2095902641568797,-0.1910640456559906,-0.17908499047938736,0.42111583825199994,0.5224217020134836,False,False,True,False,False,True,False,False
-0.6874769743749073,-0.790633022339913,0.018708059597585466,-0.24493847406310307,0.3174959920639961,-1.2813615800090281,-0.33701053602421893,1.577867925116836,0.2095902641568797,-0.1910640456559906,0.21532131788302866,0.42111583825199994,1.1521049840086386,False,False,True,True,False,False,False,False
-0.009009784477882464,0.01843538660852975,0.8138279338658276,1.7285455095429376,0.3174959920639961,0.037210940638033055,-1.0851465885307117,-1.2961494988218767,0.2095902641568797,-0.1910640456559906,-0.7213936644777095,0.42111583825199994,-0.4011137782460774,True,False,False,True,False,False,False,False
1.2393698449326433,1.5328454854094613,0.04612598629649039,0.13181755917077753,0.3174959920639961,-1.2813615800090281,-1.0851465885307117,-1.2961494988218767,0.2095902641568797,-0.1910640456559906,-0.7213936644777095,0.42111583825199994,-0.6063438849704242,False,False,True,False,False,True,False,False
